response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,log_2_fold_change,stage,z_orig,xi,omega,alpha,significant
X20,Eng,730,86377,True,1e-250,-1.0819075690320847,2,-3.752303077967409,-0.2426805996128971,0.2831138129890386,0.7375009927333607,True
X22,Tgfbr1,1826,85014,True,1e-250,1.8592838055669807,2,13.126778616819792,-0.09929714661803007,0.2744351324281851,0.5775698991028914,True
X27,Eng,1372,72550,True,1e-250,1.7272306607474013,2,10.233729945523116,-0.11329550315019327,0.2942414261748388,0.8975405646779958,True
X72,Hspa5,1178,118142,True,1e-250,3.199028352852072,2,18.63729036139757,-0.1701876814208621,0.4092081872185089,1.9921782627795073,True
X16,Eng,1667,120853,True,1.227033090689072e-185,1.0155014426246227,2,6.489161217946088,0.05780504174641973,0.22114864003192275,0.6276814580674034,True
X22,Tgfbr2,715,86125,True,3.808133213949236e-111,1.6488407208922933,2,6.704158701786281,-0.16404781062003332,0.3061744796620291,1.0610628115085468,True
X29,Eng,1447,95586,True,6.727526716102025e-103,1.0502730851600326,2,5.11555625531286,0.034506456810631775,0.23555008277710973,0.7820547899518392,True
X9,Tgfbr1,985,135264,True,1.909246138397912e-96,-1.0414466192997756,2,-4.106562187529532,-0.03097613843769849,0.2111269967418961,0.7700523851730471,True
X47,Eng,1206,70171,True,5.853048340075176e-96,1.3276090488722438,2,5.5078172339597105,0.16025338653720805,0.25686272779813796,0.8437840371425367,True
X28,Tgfbr1,1713,120833,True,1.965597849684686e-77,0.7177635583600708,2,3.4009959990375878,-0.16728426770125038,0.19119135903858148,0.7489747250687522,True
X15,Eng,925,121153,True,6.499925901306283e-73,-0.9193117410816969,2,-3.540431863291466,-0.12599495906973676,0.21012699497501824,0.6716376473078665,True
X12,Tgfbr1,2254,162261,True,5.9366570068350834e-55,0.30743937660504983,2,1.7578312362420012,-0.07890729648219891,0.13370910246153916,-0.5169284403137339,True
X15,Gata2,1283,120795,True,3.9804357254791e-53,0.487256968363595,2,2.732332343406395,0.049734047776633546,0.20382569758981822,-0.6090276865601086,True
X11,Tgfbr1,995,103807,True,5.679625008945916e-50,-0.8617738635756993,2,-3.3147735891459145,0.1899676339049432,0.2782469518474439,0.8454977971518612,True
