target_name	program_name	log2FC	p-value	adj_pval
4930579F01Rik_1	1	-0.1716251766132989	0.019867586020352004	0.15263572268223097
4930579F01Rik_2	1	-0.0055446276711486955	0.6672686753506799	0.727813828615035
Aars	1	0.07714742408175626	0.03552281940685015	0.21379441980034247
Abca1_1	1	-0.11273436952881981	0.04315727767523109	0.23725788156270933
Abca1_2	1	-0.09967438336135671	0.19892011960904976	0.4802052476322418
Abcb1a	1	-0.04070840234407953	0.854980568140227	0.7709931468020631
Abcg5	1	-0.057871384401038825	0.5833569300087835	0.7006529953637456
Abcg8	1	-0.041130925745662475	0.9364781948934784	0.7860619012474371
Acaca	1	-0.042874383157605445	0.8313436487200052	0.7662334959456079
Acacb_1	1	-0.031399146854474216	0.9368352563379989	0.7860822993388249
Acacb_2	1	0.006756796711642708	0.4718728713923583	0.6575724451095457
Acly	1	-0.03258984680040612	0.9004867543018464	0.7790081691289884
Acsl3	1	-0.04311947790912394	0.7069116391327237	0.7392229158050162
Acsl5_1	1	-0.050554950054414786	0.6574155468992631	0.7251750379567302
Acsl5_2	1	-0.06318060884675722	0.45268259507568875	0.6483337200300044
Acvr2a	1	-0.01789142106015459	0.8821834980134975	0.77578850862596
Adh1	1	-0.08849190265868366	0.13504083407988415	0.41153214869127996
Adh4	1	-0.09478352794213701	0.24330204753047632	0.5249877131034199
Adh5	1	-0.06920932193353957	0.41915899189668	0.6328898826386887
Adh6-ps1	1	-0.02785576255476183	0.9822437770630549	0.7937850489318298
Agtr1a	1	-0.028040248527245324	0.8168236689421567	0.7630633318688784
Akt2_1	1	0.027104702557407462	0.05322905437000322	0.26571495235336395
Akt2_2	1	-0.014483586654234376	0.8224572407151753	0.7645478836024813
Alkbh5	1	0.08923967629581439	0.005853658536585366	0.06946703363945995
Angptl3	1	-0.027748573807235433	0.9053658536585366	0.7801278704097719
Ap2a2	1	-0.18253503405976496	0.0009004571738185981	0.01659723504891552
Apeh	1	-0.11788205961835159	0.1281282404507931	0.4011046327987507
Apoa1	1	-0.09337370921741553	0.19218247985491474	0.47379201311677177
Apoa5_1	1	-0.012795613981368489	0.7122242585701186	0.7403964817003587
Apoa5_2	1	-0.07409037575845824	0.35900089282606795	0.6005600214104659
Apob	1	0.03153947717112079	0.12548586345581975	0.39788565534500137
Apoc1	1	-0.034246060187265524	0.9590579739293001	0.7888264216047068
Apoc2	1	-0.019223078440132997	0.9757290853291629	0.7927073747732922
