target_name	program_name	log2FC	p-value	adj_pval
4930579F01Rik_1	1	-0.4307455347988029	0.20991837529285146	0.6477986100513421
4930579F01Rik_2	1	-0.6290560818105373	0.0012613416014246948	0.04007352818987423
Aars	1	-0.19797082375447014	0.5448992151075644	0.816410675684939
Abca1_1	1	-0.08147891401928613	0.7618628723201846	0.8729117109114716
Abca1_2	1	-0.021808104750746064	0.44114792114806545	0.7774695389164741
Abcb1a	1	-0.219490058175598	0.4375530548714467	0.7762207158641775
Abcg5	1	-0.12682360959068956	0.9262554319396188	0.9067401684252446
Abcg8	1	-0.09306812371963874	0.724869694227406	0.862579678117773
Acaca	1	0.011096212926715136	0.23063244125775156	0.6632295199949881
Acacb_1	1	-0.4459838634219851	0.037501080898347354	0.34500202728577806
Acacb_2	1	-0.09280984114745915	0.8970479985196964	0.90068988652735
Acly	1	-0.04855158189504771	0.600679580280792	0.8318271264629143
Acsl3	1	-0.19916274585525115	0.5735930109795586	0.8254068854725098
Acsl5_1	1	-0.05593266823113959	0.6214029166899749	0.8360072008491255
Acsl5_2	1	0.06433687382299823	0.16728281656135696	0.6047743818917145
Acvr2a	1	0.11414199930770043	0.1497230234998873	0.5815008595897073
Adh1	1	-0.12048838237855096	0.9201642119956515	0.9055587747760092
Adh4	1	-0.022300642642554238	0.508100801473836	0.8028726133693111
Adh5	1	-0.36867507616408896	0.09024834153673675	0.49265660532787797
Adh6-ps1	1	-0.3132584613607528	0.3348544018223783	0.7262431441521131
Agtr1a	1	-0.0690931473788936	0.7344842084185395	0.8648787159677933
Akt2_1	1	0.26771314008275376	0.0004207521748291268	0.017115895712126322
Akt2_2	1	-0.15394229326174916	0.9609757468740376	0.9102908582967953
Alkbh5	1	0.5701514441689949	9.331850776005342e-11	1.3971322881963737e-08
Angptl3	1	-0.106377515124512	0.7711067471242342	0.8750281437675052
Ap2a2	1	-0.3751258959969085	0.015054194587290251	0.21486733355452767
Apeh	1	-0.314617889601448	0.3639855451726117	0.7423024538351485
Apoa1	1	-0.0952575616305647	0.959204516460441	0.9099583770164003
Apoa5_1	1	-0.07176875334362441	0.7429697492825973	0.8663829919555577
Apoa5_2	1	-0.14450096115007924	0.9597333477278324	0.9099583770164003
Apob	1	-0.060270506985081844	0.49078853438581493	0.7962505490787581
Apoc1	1	-0.4118386290801667	0.30160877688971777	0.7113272925570641
Apoc2	1	0.017313556348473664	0.46806706396162945	0.7874774552826862
Apoc3	1	-0.029436520602799696	0.48297421061251933	0.7933023947902912
Apoc4	1	-0.2955861148842864	0.2813645443349374	0.6979455141395504
Apoe	1	-0.007461637923638183	0.42256845589585934	0.7698885820879268
Apoh	1	-0.03554387699861364	0.554636662060825	0.8193200552001523
Ar_1	1	-0.04155342672282315	0.5944095657275212	0.8298432459242205
Ar_2	1	-0.17621105181539976	0.9269528777781006	0.9067401684252446
Arhgef18	1	-0.13857175762496848	0.7626563003886543	0.8729937666306923
Arrdc2	1	-0.06993049388074378	0.7432189360859897	0.8663829919555577
Asl	1	0.025650202183478955	0.3117045687960635	0.7164010585034447
Atf3	1	0.035446433652004526	0.16214432904939186	0.5990239212187022
Atf4	1	0.02496383696421916	0.3727002696951282	0.7476341941867541
Atf6	1	0.01564421371191334	0.38111149700033237	0.7514546014413208
Atg5	1	-0.26150903906444056	0.23934949810429174	0.6698380301119053
Atg7	1	0.12031055934255454	0.09558420897514078	0.5017758209250228
Atp2a2	1	-0.12961754336980516	0.9248881220306493	0.9064578999740108
Atpaf2	1	0.0006861293695203583	0.32073419990450863	0.7207420926270786
Axin2	1	-0.16490406141410527	0.8508002245117305	0.8927349139581335
BC005624	1	0.11652736991346611	0.17433025035768204	0.6104923085856998
Babam2	1	-0.10330173202584202	0.6896625092584996	0.8545286003677033
Bcl2l1_1	1	-0.01901163413889254	0.4205241963321978	0.7688652483941475
Bcl2l1_2	1	-0.0024456333109222493	0.4452574063705706	0.7783030164426327
Bcl3	1	-0.25640417370653906	0.1965691061987383	0.6328254171826914
Bloc1s2	1	-0.21363178742110128	0.6529090899073027	0.846271537762956
