program_id,target_gene,log2_fc,significant,source_program
1,UBE2H,0.36,True,cGEP1
1,TTLL12,0.3,True,cGEP1
1,ADAM10,0.3,True,cGEP1
1,ESYT1,-0.43,True,cGEP1
1,ARNT,0.36,True,cGEP1
1,CCT6A,-0.31,True,cGEP1
1,ABCF1,-0.38,True,cGEP1
1,SF3A3,-0.75,True,cGEP1
1,STAT2,-1.0,True,cGEP1
1,DGCR8,-0.37,True,cGEP1
1,RELA,-0.95,True,cGEP1
1,CCT8,-0.25,True,cGEP1
1,HMGCR,0.28,True,cGEP1
1,PRPF6,-0.82,True,cGEP1
1,ZNF469,-0.34,True,cGEP1
1,INO80,0.43,True,cGEP1
1,SNRPD2,-0.49,True,cGEP1
1,INTS8,0.3,True,cGEP1
1,LTBP2,-0.25,True,cGEP1
1,LAMTOR4,0.24,True,cGEP1
1,SF3B4,-0.57,True,cGEP1
1,NSRP1,-0.91,True,cGEP1
1,ILF3,0.43,True,cGEP1
1,STAT3,0.5,True,cGEP1
1,PSMD13,0.34,True,cGEP1
1,LPAR1,-0.24,True,cGEP1
1,SMURF2,-0.29,True,cGEP1
1,SRF,-0.25,True,cGEP1
1,HNRNPU,-0.57,True,cGEP1
1,CTR9,-0.7,True,cGEP1
1,SF3A2,-0.61,True,cGEP1
1,DHDDS,0.26,True,cGEP1
1,PPP1R10,-0.36,True,cGEP1
1,SNRPD3,-0.34,True,cGEP1
1,USP39,-0.52,True,cGEP1
1,MDM2,-0.46,True,cGEP1
1,ZC3H18,-0.52,True,cGEP1
1,SF3A1,-0.99,True,cGEP1
1,DHX8,-0.39,True,cGEP1
1,SOX17,-0.29,True,cGEP1
1,DDIT3,-0.3,True,cGEP1
1,SEC61A1,-0.67,True,cGEP1
1,PDS5B,-0.3,True,cGEP1
1,TOP1,0.32,True,cGEP1
1,SNRPC,-0.37,True,cGEP1
2,UBE2H,-0.15,True,cGEP2
2,MRPS18A,0.16,True,cGEP2
2,PEX6,-0.23,True,cGEP2
2,CORO1C,0.14,True,cGEP2
2,TAF6,-0.28,True,cGEP2
2,MYOCD,-0.39,True,cGEP2
2,HEXIM1,-0.23,True,cGEP2
2,DNAJC17,-0.14,True,cGEP2
2,ATP1B3,-0.19,True,cGEP2
2,RPS28,-0.31,True,cGEP2
2,ACTR2,-0.25,True,cGEP2
2,ESYT1,-0.15,True,cGEP2
2,ARNT,0.32,True,cGEP2
2,RPL10,0.22,True,cGEP2
2,ABCF1,0.23,True,cGEP2
2,CDKN1A,0.11,True,cGEP2
2,ATP8B2,0.15,True,cGEP2
2,SF3A3,-0.26,True,cGEP2
2,RHOA,-0.17,True,cGEP2
2,DGCR8,-0.27,True,cGEP2
2,RPS7,-0.33,True,cGEP2
2,RELA,-0.18,True,cGEP2
2,CERS2,-0.18,True,cGEP2
2,HNRNPM,0.17,True,cGEP2
2,XPO6,-0.17,True,cGEP2
2,PRPF6,-0.42,True,cGEP2
2,SBF2,0.17,True,cGEP2
2,SMAD4,-0.19,True,cGEP2
2,SNRPD2,-0.29,True,cGEP2
2,DNM2,-0.2,True,cGEP2
2,EDNRA,-0.17,True,cGEP2
2,SF3B4,-0.31,True,cGEP2
2,NSRP1,-0.78,True,cGEP2
2,ILF3,-0.15,True,cGEP2
2,ITGB5,0.14,True,cGEP2
2,MED1,-0.2,True,cGEP2
2,SPECC1L,-0.18,True,cGEP2
2,TARS2,0.18,True,cGEP2
2,SRF,-0.66,True,cGEP2
2,LOXL1,0.15,True,cGEP2
2,HNRNPU,0.25,True,cGEP2
2,RRBP1,0.21,True,cGEP2
2,CTR9,-0.36,True,cGEP2
2,SF3A2,-0.4,True,cGEP2
2,NOL11,-0.23,True,cGEP2
2,RPS25,-0.29,True,cGEP2
2,DHDDS,-0.23,True,cGEP2
2,SIPA1,0.19,True,cGEP2
2,PPP1R10,-0.61,True,cGEP2
2,SNRPD3,-0.21,True,cGEP2
2,HIPK1,-0.17,True,cGEP2
2,UBA52,0.21,True,cGEP2
2,ZC3H18,0.13,True,cGEP2
2,SF3A1,-0.4,True,cGEP2
2,ARHGEF12,-0.17,True,cGEP2
2,DHX8,-0.23,True,cGEP2
2,TAOK1,0.13,True,cGEP2
2,POLR2B,-0.32,True,cGEP2
2,RPS6,-0.4,True,cGEP2
2,TAF11,-0.21,True,cGEP2
2,YY1,0.17,True,cGEP2
2,IPO5,-0.17,True,cGEP2
2,SEC61A1,0.17,True,cGEP2
2,CDK12,-0.2,True,cGEP2
2,WWTR1,-0.16,True,cGEP2
2,UBAP2L,0.2,True,cGEP2
2,SNRPC,-0.32,True,cGEP2
2,ABHD2,0.19,True,cGEP2
3,QTRT1,0.12,True,cGEP3
3,UBE2H,-0.23,True,cGEP3
3,TAF6,0.12,True,cGEP3
3,RPL17,0.19,True,cGEP3
3,EPB41L2,0.16,True,cGEP3
3,HEXIM1,-0.11,True,cGEP3
3,DNAJC17,0.21,True,cGEP3
3,NOB1,0.1,True,cGEP3
3,PCIF1,0.09,True,cGEP3
3,ADAM10,0.13,True,cGEP3
3,ACTR2,-0.11,True,cGEP3
3,NT5C2,0.12,True,cGEP3
3,ARNT,0.17,True,cGEP3
3,CSDE1,0.16,True,cGEP3
3,RPL10,0.22,True,cGEP3
3,SF3A3,0.1,True,cGEP3
3,RPS7,0.2,True,cGEP3
3,DPY19L3,-0.1,True,cGEP3
3,DYNLRB1,0.1,True,cGEP3
3,PRPF6,0.53,True,cGEP3
3,TMED10,0.16,True,cGEP3
3,INO80,0.09,True,cGEP3
3,SURF4,0.15,True,cGEP3
3,DNTTIP1,-0.25,True,cGEP3
3,SNRPD2,0.16,True,cGEP3
3,USE1,0.11,True,cGEP3
3,SYMPK,-0.1,True,cGEP3
3,INTS8,-0.5,True,cGEP3
3,PSMA5,0.38,True,cGEP3
3,NSRP1,0.85,True,cGEP3
3,LSM7,0.08,True,cGEP3
3,ILF3,0.16,True,cGEP3
3,MED1,0.36,True,cGEP3
3,PSMD13,0.15,True,cGEP3
3,TARS2,0.13,True,cGEP3
3,IP6K1,0.13,True,cGEP3
3,PHB2,0.09,True,cGEP3
3,LOXL1,0.09,True,cGEP3
3,HNRNPU,0.11,True,cGEP3
3,CTR9,0.47,True,cGEP3
3,POLR3D,0.17,True,cGEP3
3,PPP1R10,-0.61,True,cGEP3
3,SNRPD3,0.11,True,cGEP3
3,DHX38,0.15,True,cGEP3
3,RPL7A,0.12,True,cGEP3
3,SRSF3,0.32,True,cGEP3
3,USP39,0.4,True,cGEP3
3,SART3,0.13,True,cGEP3
3,UBA52,0.21,True,cGEP3
3,PPIL4,0.1,True,cGEP3
3,UNC45A,0.11,True,cGEP3
3,SF3A1,0.17,True,cGEP3
3,CAST,0.11,True,cGEP3
3,N4BP2L2,-0.1,True,cGEP3
3,DHX8,0.63,True,cGEP3
3,SPOP,-0.1,True,cGEP3
3,POLR2B,0.18,True,cGEP3
3,SEMA5A,-0.08,True,cGEP3
3,RPS6,0.14,True,cGEP3
3,PSMA3,0.42,True,cGEP3
3,SEC61A1,0.4,True,cGEP3
3,MAPKAPK2,0.12,True,cGEP3
3,UQCC2,0.11,True,cGEP3
3,CLASRP,0.19,True,cGEP3
3,CFDP1,-0.14,True,cGEP3
3,RPL10A,0.15,True,cGEP3
3,NOTCH2,0.11,True,cGEP3
4,UBE2H,-0.1,True,cGEP4
4,MYOCD,-0.13,True,cGEP4
4,CCNL1,0.18,True,cGEP4
4,HEXIM1,-0.12,True,cGEP4
4,DNAJC17,0.16,True,cGEP4
4,ARNT,-0.19,True,cGEP4
4,SF3A3,0.24,True,cGEP4
4,REST,-0.12,True,cGEP4
4,MAP4,0.11,True,cGEP4
4,TBRG4,0.1,True,cGEP4
4,DPY19L3,0.17,True,cGEP4
4,PRPF6,0.38,True,cGEP4
4,ZNF469,-0.16,True,cGEP4
4,INO80,0.13,True,cGEP4
4,SURF4,0.09,True,cGEP4
4,PML,0.1,True,cGEP4
4,SF3B4,0.3,True,cGEP4
4,SCARA3,-0.1,True,cGEP4
4,NSRP1,0.79,True,cGEP4
4,SRF,-0.26,True,cGEP4
4,LOXL1,-0.12,True,cGEP4
4,HNRNPU,0.17,True,cGEP4
4,CTR9,0.32,True,cGEP4
4,SF3A2,0.21,True,cGEP4
4,USP39,0.12,True,cGEP4
4,ZC3H18,0.16,True,cGEP4
4,SF3A1,0.48,True,cGEP4
4,DHX8,0.3,True,cGEP4
4,DPH1,0.11,True,cGEP4
4,TOP1,-0.19,True,cGEP4
4,CFDP1,-0.25,True,cGEP4
5,UBE2H,-0.15,True,cGEP5
5,ACVR1,-0.04,True,cGEP5
5,MRPS18A,-0.05,True,cGEP5
5,EIF2B2,-0.08,True,cGEP5
5,IRS1,-0.04,True,cGEP5
5,TAF6,0.05,True,cGEP5
5,ZSWIM8,-0.04,True,cGEP5
5,RAI14,-0.06,True,cGEP5
5,ATP6V1B2,-0.05,True,cGEP5
5,SMARCA4,-0.04,True,cGEP5
5,HEXIM1,-0.12,True,cGEP5
5,DNAJC17,-0.05,True,cGEP5
5,TRIP12,-0.05,True,cGEP5
5,HNRNPD,0.04,True,cGEP5
5,SLC39A13,-0.05,True,cGEP5
5,FASTK,-0.09,True,cGEP5
5,CDKN2A,-0.04,True,cGEP5
5,ESYT1,0.05,True,cGEP5
5,NT5C2,-0.05,True,cGEP5
5,ARNT,-0.12,True,cGEP5
5,RBMX,-0.05,True,cGEP5
5,CCT6A,-0.06,True,cGEP5
5,CSDE1,-0.09,True,cGEP5
5,RPL10,-0.06,True,cGEP5
5,ABCF1,-0.05,True,cGEP5
5,CDKN1A,-0.12,True,cGEP5
5,SF3A3,-0.38,True,cGEP5
5,UBC,-0.07,True,cGEP5
5,FKBP10,-0.04,True,cGEP5
5,DGCR8,-0.08,True,cGEP5
5,GUCD1,-0.04,True,cGEP5
5,RELA,-0.06,True,cGEP5
5,SLC35B2,-0.04,True,cGEP5
5,DPY19L3,-0.15,True,cGEP5
5,HNRNPM,-0.1,True,cGEP5
5,XPO6,-0.04,True,cGEP5
5,PRPF6,-0.28,True,cGEP5
5,TMED10,0.04,True,cGEP5
5,INO80,-0.05,True,cGEP5
5,MRPL9,-0.04,True,cGEP5
5,SNRPD2,-0.29,True,cGEP5
5,MRPL18,-0.05,True,cGEP5
5,TNPO1,-0.04,True,cGEP5
5,EIF5,-0.04,True,cGEP5
5,INTS8,-0.15,True,cGEP5
5,LAMTOR4,-0.07,True,cGEP5
5,PSMA5,-0.11,True,cGEP5
5,SF3B4,-0.3,True,cGEP5
5,NSRP1,-0.38,True,cGEP5
5,LSM7,-0.08,True,cGEP5
5,ANKRD52,-0.06,True,cGEP5
5,ERGIC1,-0.04,True,cGEP5
5,SRM,-0.06,True,cGEP5
5,VPS18,-0.1,True,cGEP5
5,MED1,0.12,True,cGEP5
5,SPCS3,0.04,True,cGEP5
5,RCCD1,-0.05,True,cGEP5
5,SMURF2,-0.06,True,cGEP5
5,TARS2,-0.12,True,cGEP5
5,IP6K1,-0.09,True,cGEP5
5,PHB2,-0.06,True,cGEP5
5,SRF,-0.08,True,cGEP5
5,LOXL1,-0.08,True,cGEP5
5,HNRNPU,0.09,True,cGEP5
5,RRBP1,-0.16,True,cGEP5
5,GIGYF2,-0.06,True,cGEP5
5,PID1,-0.05,True,cGEP5
5,CTR9,-0.27,True,cGEP5
5,DDX5,0.05,True,cGEP5
5,SF3A2,-0.33,True,cGEP5
5,MRPL14,-0.05,True,cGEP5
5,DCUN1D5,-0.07,True,cGEP5
5,DHDDS,0.06,True,cGEP5
5,AXL,-0.04,True,cGEP5
5,TGOLN2,-0.04,True,cGEP5
5,RAB1A,-0.09,True,cGEP5
5,PPP1R10,-0.07,True,cGEP5
5,SNRPD3,-0.21,True,cGEP5
5,FNDC3B,-0.06,True,cGEP5
5,RPL7A,-0.05,True,cGEP5
5,USP39,-0.18,True,cGEP5
5,WDR12,0.05,True,cGEP5
5,MDM2,-0.07,True,cGEP5
5,YAP1,-0.04,True,cGEP5
5,UBA52,-0.07,True,cGEP5
5,PPIL4,-0.05,True,cGEP5
5,ZC3H18,-0.05,True,cGEP5
5,TCF7L1,-0.04,True,cGEP5
5,SF3A1,-0.49,True,cGEP5
5,FN1,0.04,True,cGEP5
5,CAST,-0.05,True,cGEP5
5,DHX8,-0.33,True,cGEP5
5,SPOP,-0.08,True,cGEP5
5,PCID2,-0.05,True,cGEP5
5,ARHGEF40,-0.05,True,cGEP5
5,POLR2B,0.08,True,cGEP5
5,INTS10,-0.09,True,cGEP5
5,PSMA3,-0.15,True,cGEP5
5,SAP130,-0.04,True,cGEP5
5,LAGE3,-0.04,True,cGEP5
5,SEC61A1,-0.27,True,cGEP5
5,UQCC2,-0.05,True,cGEP5
5,SRP68,-0.08,True,cGEP5
5,SNRPC,-0.12,True,cGEP5
5,CFDP1,0.04,True,cGEP5
5,NOTCH2,-0.06,True,cGEP5
6,PTK2,-0.07,True,cGEP6
6,SMAD3,0.06,True,cGEP6
6,MYOCD,0.09,True,cGEP6
6,RAI14,-0.08,True,cGEP6
6,SMARCC2,-0.06,True,cGEP6
6,ATP6V1B2,-0.07,True,cGEP6
6,CCNL1,-0.06,True,cGEP6
6,TRIP12,0.06,True,cGEP6
6,CCT6A,-0.08,True,cGEP6
6,CSDE1,-0.09,True,cGEP6
6,RPL10,0.06,True,cGEP6
